batter,balls_faced,total_runs,dots,ones,twos,threes,fours,sixes,wickets,p_dot,p_1,p_2,p_3,p_4,p_6,p_wicket
A Ashish Reddy,193,280,44,83,20,1,16,15,15,0.22797927461139897,0.43005181347150256,0.10362694300518134,0.0051813471502590676,0.08290155440414508,0.07772020725388601,0.07772020725388601
A Badoni,1061,1479,286,438,88,7,127,56,60,0.2695570216776626,0.412818096135721,0.08294062205466542,0.006597549481621112,0.11969839773798303,0.0527803958529689,0.05655042412818096
A Chopra,71,53,36,21,2,0,7,0,5,0.5070422535211268,0.29577464788732394,0.028169014084507043,0.0,0.09859154929577464,0.0,0.07042253521126761
A Flintoff,53,62,18,23,2,1,5,2,2,0.33962264150943394,0.4339622641509434,0.03773584905660377,0.018867924528301886,0.09433962264150944,0.03773584905660377,0.03773584905660377
A Kamboj,104,133,28,55,5,0,8,6,2,0.2692307692307692,0.5288461538461539,0.04807692307692308,0.0,0.07692307692307693,0.057692307692307696,0.019230769230769232
A Manohar,235,292,72,98,9,0,23,14,19,0.30638297872340425,0.41702127659574467,0.03829787234042553,0.0,0.09787234042553192,0.059574468085106386,0.08085106382978724
A Mhatre,466,843,133,152,18,3,91,47,22,0.2854077253218884,0.3261802575107296,0.03862660944206009,0.006437768240343348,0.19527896995708155,0.10085836909871244,0.04721030042918455
A Mishra,419,381,150,183,22,0,31,5,30,0.35799522673031026,0.43675417661097854,0.05250596658711217,0.0,0.07398568019093078,0.011933174224343675,0.07159904534606205
A Nehra,62,41,28,21,1,0,3,1,8,0.45161290322580644,0.3387096774193548,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.12903225806451613
A Nortje,52,49,18,17,1,2,6,0,8,0.34615384615384615,0.3269230769230769,0.019230769230769232,0.038461538461538464,0.11538461538461539,0.0,0.15384615384615385
A Raghuvanshi,764,1090,230,302,32,5,118,37,37,0.3010471204188482,0.39528795811518325,0.041884816753926704,0.006544502617801047,0.1544502617801047,0.04842931937172775,0.04842931937172775
A Symonds,750,974,252,288,66,4,74,41,26,0.336,0.384,0.088,0.005333333333333333,0.09866666666666667,0.05466666666666667,0.034666666666666665
AA Bilakhia,85,69,35,31,9,0,5,0,5,0.4117647058823529,0.36470588235294116,0.10588235294117647,0.0,0.058823529411764705,0.0,0.058823529411764705
AA Jhunjhunwala,210,217,78,82,13,1,19,5,14,0.37142857142857144,0.3904761904761905,0.06190476190476191,0.004761904761904762,0.09047619047619047,0.023809523809523808,0.06666666666666667
AB Agarkar,154,179,46,67,15,0,13,5,8,0.2987012987012987,0.43506493506493504,0.09740259740259741,0.0,0.08441558441558442,0.032467532467532464,0.05194805194805195
AB McDonald,100,123,30,42,9,1,9,4,5,0.3,0.42,0.09,0.01,0.09,0.04,0.05
AB de Villiers,3411,5181,918,1420,268,17,414,253,125,0.2691292875989446,0.41630020521841105,0.07856933450600997,0.004983875696276752,0.12137203166226913,0.07417179712694225,0.03664614482556435
AC Blizzard,90,120,40,17,2,1,21,2,7,0.4444444444444444,0.18888888888888888,0.022222222222222223,0.011111111111111112,0.23333333333333334,0.022222222222222223,0.07777777777777778
AC Gilchrist,1495,2069,602,417,66,4,239,92,76,0.40267558528428093,0.27892976588628765,0.04414715719063545,0.0026755852842809363,0.15986622073578596,0.06153846153846154,0.050836120401337795
AC Voges,143,181,40,61,18,2,15,3,6,0.27972027972027974,0.42657342657342656,0.1258741258741259,0.013986013986013986,0.1048951048951049,0.02097902097902098,0.04195804195804196
AD Hales,118,148,41,44,8,0,13,6,6,0.3474576271186441,0.3728813559322034,0.06779661016949153,0.0,0.11016949152542373,0.05084745762711865,0.05084745762711865
AD Mascarenhas,78,79,19,35,9,0,5,1,10,0.24358974358974358,0.44871794871794873,0.11538461538461539,0.0,0.0641025641025641,0.01282051282051282,0.1282051282051282
AD Mathews,575,724,153,267,49,3,44,29,31,0.26608695652173914,0.4643478260869565,0.08521739130434783,0.0052173913043478265,0.07652173913043478,0.050434782608695654,0.05391304347826087
AD Nath,98,90,34,40,5,0,7,2,10,0.3469387755102041,0.40816326530612246,0.05102040816326531,0.0,0.07142857142857142,0.02040816326530612,0.10204081632653061
AD Russell,1525,2655,515,449,60,0,187,223,92,0.3377049180327869,0.29442622950819675,0.03934426229508197,0.0,0.12262295081967213,0.14622950819672131,0.06032786885245902
AG Paunikar,58,49,33,9,2,0,9,0,5,0.5689655172413793,0.15517241379310345,0.034482758620689655,0.0,0.15517241379310345,0.0,0.08620689655172414
AJ Finch,1635,2092,605,546,105,4,214,78,84,0.37003058103975534,0.3339449541284404,0.06422018348623854,0.0024464831804281344,0.1308868501529052,0.047706422018348627,0.05137614678899083
AJ Tye,76,91,28,22,6,1,6,5,8,0.3684210526315789,0.2894736842105263,0.07894736842105263,0.013157894736842105,0.07894736842105263,0.06578947368421052,0.10526315789473684
AK Markram,1471,2019,404,658,76,5,168,87,73,0.274643099932019,0.44731475186947656,0.05166553365057784,0.003399048266485384,0.1142080217539089,0.05914343983684568,0.04962610469068661
AL Menaria,356,401,119,149,24,0,24,18,22,0.3342696629213483,0.41853932584269665,0.06741573033707865,0.0,0.06741573033707865,0.05056179775280899,0.06179775280898876
AM Nayar,577,672,185,230,47,1,55,20,39,0.32062391681109187,0.3986135181975737,0.08145580589254767,0.0017331022530329288,0.09532062391681109,0.03466204506065858,0.06759098786828423
AM Rahane,4385,5518,1397,1797,295,19,539,153,187,0.3185860889395667,0.409806157354618,0.06727480045610035,0.004332953249714938,0.12291904218928164,0.03489167616875713,0.04264538198403649
AP Majumdar,76,87,23,33,7,0,7,2,4,0.3026315789473684,0.4342105263157895,0.09210526315789473,0.0,0.09210526315789473,0.02631578947368421,0.05263157894736842
AP Tare,273,339,106,72,19,1,40,11,24,0.3882783882783883,0.26373626373626374,0.0695970695970696,0.003663003663003663,0.14652014652014653,0.040293040293040296,0.08791208791208792
AR Patel,1523,2009,406,685,102,0,139,94,106,0.2665791201575837,0.44977019041365723,0.066973079448457,0.0,0.0912672357189757,0.061720288903479976,0.0695994747209455
AS Raut,167,194,52,73,9,3,13,7,11,0.31137724550898205,0.437125748502994,0.05389221556886228,0.017964071856287425,0.07784431137724551,0.041916167664670656,0.0658682634730539
