bowler,balls_bowled,runs_conceded,wickets_taken,economy_factor,wicket_factor
A Ashish Reddy,264,386,19,0.9747474747474748,0.7196969696969697
A Chandila,234,242,11,0.6894586894586895,0.4700854700854701
A Choudhary,102,137,5,0.8954248366013071,0.49019607843137253
A Flintoff,66,105,2,1.0606060606060606,0.30303030303030304
A Kamboj,699,964,52,0.9194086790653314,0.7439198855507868
A Kumble,970,1027,49,0.7058419243986255,0.5051546391752577
A Mishra,3392,4065,182,0.798938679245283,0.5365566037735849
A Mithun,297,448,8,1.005611672278339,0.26936026936026936
A Nehra,1917,2422,120,0.8422882976873587,0.6259780907668232
A Nortje,1176,1695,63,0.9608843537414966,0.5357142857142857
A Singh,474,603,31,0.8481012658227848,0.6540084388185654
A Symonds,528,656,23,0.8282828282828283,0.43560606060606066
A Zampa,467,639,32,0.91220556745182,0.6852248394004283
AA Chavan,248,318,8,0.8548387096774194,0.3225806451612903
AA Jhunjhunwala,85,126,1,0.9882352941176471,0.11764705882352941
AB Agarkar,784,1112,33,0.945578231292517,0.42091836734693877
AB Dinda,1530,1987,81,0.8657952069716776,0.5294117647058824
AB McDonald,186,259,14,0.92831541218638,0.7526881720430108
AC Thomas,317,394,16,0.8286014721345952,0.5047318611987381
AD Mascarenhas,308,353,19,0.764069264069264,0.6168831168831169
AD Mathews,792,1054,28,0.8872053872053872,0.35353535353535354
AD Russell,1819,2773,133,1.0163093274693054,0.731170973062122
AF Milne,208,313,9,1.0032051282051282,0.4326923076923077
AG Murtaza,264,304,12,0.7676767676767677,0.4545454545454546
AJ Hosein,276,361,19,0.8719806763285024,0.6884057971014492
AJ Tye,687,949,48,0.9209121785540999,0.6986899563318777
AK Markram,290,474,6,1.089655172413793,0.20689655172413793
AL Menaria,110,140,3,0.8484848484848485,0.2727272727272727
AM Ghazanfar,375,579,30,1.0293333333333334,0.8
AM Nayar,229,311,9,0.9053857350800582,0.39301310043668125
AM Salvi,150,190,7,0.8444444444444444,0.4666666666666667
AN Ahmed,349,467,15,0.89207258834766,0.4297994269340974
AP Dole,67,105,5,1.0447761194029852,0.7462686567164178
AR Patel,3753,4608,158,0.8185451638689049,0.4209965361044498
AS Joseph,435,669,22,1.025287356321839,0.5057471264367817
AS Rajpoot,539,772,24,0.9548546691403835,0.4452690166975881
AS Roy,433,595,23,0.9160892994611239,0.5311778290993072
AU Rashid,60,91,2,1.011111111111111,0.3333333333333333
Abhinandan Singh,174,360,9,1.3793103448275863,0.5172413793103449
Abhishek Sharma,388,596,11,1.0240549828178696,0.28350515463917525
Akash Deep,282,520,11,1.2293144208037825,0.3900709219858156
Akash Madhwal,359,562,26,1.04363974001857,0.7242339832869081
Akash Singh,205,323,9,1.0504065040650408,0.4390243902439024
Anand Rajan,150,188,10,0.8355555555555556,0.6666666666666666
Ankit Sharma,367,436,12,0.7920072661217076,0.326975476839237
Ankit Soni,109,141,4,0.8623853211009175,0.3669724770642202
Anureet Singh,419,601,21,0.9562450278440732,0.5011933174224343
Arjun Tendulkar,74,104,4,0.936936936936937,0.5405405405405406
Arshad Khan,393,651,30,1.104325699745547,0.7633587786259542
Arshdeep Singh,2262,3378,130,0.995579133510168,0.5747126436781609
Ashok Sharma,381,651,18,1.1391076115485566,0.47244094488188976
Ashwani Kumar,305,517,29,1.1300546448087432,0.9508196721311475
Auqib Nabi,129,270,0,1.3953488372093024,0.0
Avesh Khan,1929,2899,109,1.001900812165198,0.5650596163815448
Azhar Mahmood,542,681,31,0.8376383763837638,0.5719557195571956
Azmatullah Omarzai,288,451,12,1.0439814814814816,0.41666666666666663
B Akhil,189,235,7,0.8289241622574957,0.37037037037037035
B Kumar,4867,5989,267,0.8203547702212178,0.5485925621532771
B Laughlin,169,271,10,1.069033530571992,0.5917159763313609
B Lee,888,1042,30,0.7822822822822822,0.33783783783783783
B Muzarabani,126,219,15,1.1587301587301588,1.1904761904761905
B Stanlake,144,194,7,0.8981481481481483,0.4861111111111111
BA Bhatt,297,389,13,0.8731762065095398,0.4377104377104377
BA Stokes,693,956,31,0.9196729196729198,0.44733044733044736
BAW Mendis,245,295,9,0.8027210884353742,0.3673469387755102
BB Sran,486,718,20,0.9849108367626886,0.411522633744856
BCJ Cutting,281,422,12,1.0011862396204034,0.42704626334519574
BE Hendricks,151,224,11,0.9889624724061811,0.7284768211920529
BJ Hodge,234,294,18,0.8376068376068376,0.7692307692307693
BW Hilfenhaus,375,461,23,0.8195555555555556,0.6133333333333333
Basil Thampi,522,828,26,1.0574712643678161,0.49808429118773945
Bipul Sharma,426,557,21,0.8716744913928013,0.4929577464788732
Brijesh Sharma,354,513,21,0.9661016949152542,0.5932203389830508
C Bosch,99,166,4,1.1178451178451179,0.4040404040404041
C Green,587,901,26,1.02328222600795,0.44293015332197616
C Sakariya,449,601,20,0.8923533778767632,0.4454342984409799
C de Grandhomme,218,301,7,0.9204892966360857,0.3211009174311927
CH Gayle,557,680,19,0.8138839018551766,0.3411131059245961
CH Morris,1731,2220,107,0.854997111496245,0.6181398035817447
CJ Anderson,297,497,14,1.1156004489337823,0.4713804713804714
CJ Jordan,679,1033,36,1.0142366224840451,0.5301914580265096
CK Langeveldt,157,178,13,0.7558386411889596,0.8280254777070063
CR Brathwaite,257,363,16,0.9416342412451363,0.622568093385214
CR Woakes,441,635,31,0.9599395313681027,0.7029478458049887
CRD Fernando,238,279,19,0.7815126050420168,0.7983193277310924
CV Varun,2274,2882,122,0.8449135150982117,0.5364995602462621
D Madushanka,72,96,3,0.8888888888888888,0.41666666666666663
D Pretorius,150,222,7,0.9866666666666667,0.4666666666666667
D Wiese,297,428,17,0.9607182940516275,0.5723905723905724
DA Payne,90,207,6,1.5333333333333332,0.6666666666666666
DE Bollinger,578,663,43,0.7647058823529411,0.7439446366782008
DG Nalkande,85,143,6,1.1215686274509804,0.7058823529411764
DJ Bravo,3129,4178,206,0.8901672525833599,0.6583573026526046
DJ Hooda,379,532,9,0.9357959542656112,0.23746701846965698
DJ Hussey,317,467,10,0.982124079915878,0.31545741324921134
DJ Muthuswami,84,101,4,0.8015873015873015,0.47619047619047616
DJ Willey,216,267,7,0.8240740740740741,0.32407407407407407
DJG Sammy,238,341,14,0.9551820728291317,0.5882352941176471
DL Chahar,2039,2750,94,0.8991335622036947,0.46101029916625796
DL Vettori,777,871,34,0.7473187473187473,0.4375804375804376
DNT Zoysa,68,96,2,0.9411764705882354,0.29411764705882354
DP Nannes,650,734,38,0.7528205128205129,0.5846153846153846
DP Vijaykumar,154,192,4,0.8311688311688311,0.25974025974025977
DR Sams,362,489,15,0.9005524861878453,0.4143646408839779
DR Smith,543,787,27,0.9662369551872314,0.49723756906077343
DS Kulkarni,1794,2364,91,0.8784838350055741,0.5072463768115942
DS Rathi,746,1079,23,0.9642537980339588,0.30831099195710454
DT Christian,886,1152,40,0.8668171557562077,0.45146726862302483
DW Steyn,2189,2406,105,0.7327546825034262,0.47967108268615805
E Malinga,718,1025,62,0.9517177344475395,0.8635097493036212
FA Allen,90,135,2,1.0,0.22222222222222224
FH Edwards,141,144,6,0.6808510638297872,0.425531914893617
Fazalhaq Farooqi,254,425,6,1.1154855643044619,0.23622047244094488
G Coetzee,274,445,15,1.0827250608272505,0.5474452554744526
GB Hogg,459,552,25,0.8017429193899782,0.5446623093681917
GC Viljoen,138,210,8,1.0144927536231885,0.5797101449275363
GD McGrath,325,352,14,0.722051282051282,0.43076923076923074
GF Linde,111,165,3,0.990990990990991,0.2702702702702703
GHS Garton,92,128,3,0.927536231884058,0.32608695652173914
GJ Maxwell,1022,1381,45,0.9008480104370515,0.44031311154598823
Gagandeep Singh,84,141,3,1.119047619047619,0.3571428571428571
Gurjapneet Singh,255,396,9,1.035294117647059,0.3529411764705882
Gurkeerat Singh,78,93,5,0.7948717948717948,0.641025641025641
HF Gurney,163,231,7,0.9447852760736196,0.4294478527607362
HH Pandya,1978,3054,96,1.0293225480283115,0.4853387259858443
HR Shokeen,206,301,5,0.9741100323624595,0.24271844660194175
HV Patel,2583,3685,168,0.9510904632855852,0.6504065040650407
Harbhajan Singh,3420,3928,157,0.765692007797271,0.4590643274853801
Harmeet Singh,553,698,31,0.8414707655213984,0.5605786618444846
Harpreet Brar,884,1138,35,0.8582202111613877,0.39592760180995473
Harsh Dubey,420,655,29,1.0396825396825398,0.6904761904761905
Harshit Rana,653,999,42,1.0199081163859112,0.6431852986217458
I Sharma,2442,3218,100,0.8785148785148785,0.4095004095004095
I Udana,174,274,8,1.049808429118774,0.45977011494252873
IC Pandey,464,584,19,0.8390804597701149,0.4094827586206896
IK Pathan,2044,2569,99,0.8378995433789954,0.4843444227005871
IS Sodhi,181,201,9,0.7403314917127072,0.49723756906077343
Imran Tahir,1317,1664,86,0.8423184004049608,0.6529992406985573
Iqbal Abdulla,920,1083,45,0.7847826086956521,0.4891304347826087
J Botha,694,781,27,0.750240153698367,0.3890489913544669
J Little,228,331,13,0.9678362573099415,0.5701754385964912
J Overton,378,615,27,1.0846560846560847,0.7142857142857142
J Suchith,420,585,20,0.9285714285714285,0.47619047619047616
J Syed Mohammad,192,279,10,0.96875,0.5208333333333334
J Theron,223,288,13,0.8609865470852017,0.5829596412556054
J Yadav,392,437,9,0.7431972789115647,0.22959183673469388
JA Duffy,219,390,18,1.187214611872146,0.821917808219178
JA Morkel,1736,2256,96,0.8663594470046082,0.5529953917050692
JA Richardson,90,152,3,1.125925925925926,0.3333333333333333
JC Archer,1822,2322,109,0.849615806805708,0.5982436882546651
JD Ryder,236,297,11,0.8389830508474576,0.4661016949152542
JD Unadkat,2506,3708,133,0.9864325618515563,0.5307262569832403
JDP Oram,238,342,13,0.957983193277311,0.546218487394958
JDS Neesham,216,328,8,1.0123456790123457,0.37037037037037035
JE Taylor,118,152,6,0.8587570621468926,0.5084745762711864
JEC Franklin,153,216,9,0.9411764705882354,0.5882352941176471
JH Kallis,1751,2222,74,0.8459927660384542,0.422615648201028
JJ Bumrah,3944,4677,212,0.7905679513184585,0.537525354969574
JJ van der Wath,74,125,3,1.1261261261261262,0.40540540540540543
JL Pattinson,213,311,11,0.97339593114241,0.5164319248826291
JO Holder,1211,1655,68,0.9110927608037435,0.5615194054500413
JP Behrendorff,366,535,22,0.9744990892531876,0.6010928961748634
JP Duminy,678,802,23,0.7885939036381514,0.3392330383480826
JP Faulkner,1243,1744,75,0.9353714132475194,0.6033789219629927
JR Hazlewood,1292,1795,82,0.9262125902992776,0.6346749226006192
JR Hopes,360,539,14,0.9981481481481481,0.3888888888888889
Jaskaran Singh,106,162,6,1.0188679245283019,0.5660377358490566
Joginder Sharma,263,402,13,1.0190114068441065,0.49429657794676807
K Goel,66,92,0,0.9292929292929294,0.0
K Gowtham,588,797,21,0.9036281179138322,0.3571428571428571
K Kartikeya,282,397,12,0.9385342789598109,0.425531914893617
K Khejroliya,141,237,6,1.1205673758865249,0.425531914893617
K Rabada,2554,3631,170,0.9477943095797442,0.6656225528582616
KA Jamieson,315,527,17,1.1153439153439153,0.5396825396825398
KA Pollard,1496,2077,80,0.9255793226381462,0.5347593582887701
KC Cariappa,218,340,8,1.039755351681957,0.3669724770642202
KH Pandya,2887,3598,122,0.8308509409998845,0.4225839972289574
KJ Abbott,97,170,2,1.168384879725086,0.20618556701030927
KK Ahmed,1867,2668,100,0.9526870201749688,0.5356186395286556
KK Cooper,577,725,36,0.8376660889659157,0.6239168110918545
KL Nagarkoti,180,280,5,1.037037037037037,0.2777777777777778
KM Asif,135,219,7,1.0814814814814815,0.5185185185185185
KMA Paul,168,216,9,0.8571428571428572,0.5357142857142857
KMDN Kulasekara,102,115,6,0.7516339869281046,0.5882352941176471
KP Appanna,216,278,11,0.8580246913580246,0.5092592592592592
KP Pietersen,174,205,9,0.7854406130268199,0.5172413793103449
KR Sen,243,372,14,1.0205761316872428,0.5761316872427984
KT Maphaka,66,138,2,1.3939393939393938,0.30303030303030304
KV Sharma,1585,2189,88,0.9207150368033649,0.555205047318612
KW Richardson,335,458,21,0.9114427860696517,0.626865671641791
Kamran Khan,167,228,14,0.9101796407185629,0.8383233532934131
Karanveer Singh,204,312,14,1.0196078431372548,0.6862745098039216
Kartik Tyagi,925,1431,43,1.0313513513513513,0.46486486486486484
Krish Bhagat,72,123,0,1.1388888888888888,0.0
Kuldeep Yadav,2481,3422,126,0.919521698239957,0.5078597339782346
L Balaji,1516,1952,85,0.8583992963940194,0.5606860158311345
L Ngidi,800,1111,53,0.9258333333333333,0.6625000000000001
LE Plunkett,150,221,4,0.9822222222222222,0.26666666666666666
LH Ferguson,1107,1637,63,0.9858476362541403,0.5691056910569106
LJ Wright,71,120,2,1.1267605633802817,0.28169014084507044
LR Shukla,316,429,17,0.9050632911392404,0.5379746835443038
LS Livingstone,312,460,13,0.982905982905983,0.41666666666666663
Lalit Yadav,289,419,11,0.9665513264129181,0.3806228373702422
M Ashwin,873,1131,35,0.86368843069874,0.4009163802978236
M Jansen,1235,1823,53,0.9840755735492578,0.4291497975708502
M Kartik,1154,1341,39,0.7746967071057193,0.3379549393414211
M Markande,811,1276,36,1.0489108096999589,0.44389642416769415
M Morkel,1642,2005,88,0.8140479090539992,0.535931790499391
M Muralitharan,1530,1642,67,0.7154684095860566,0.43790849673202614
M Ntini,212,238,8,0.7484276729559749,0.3773584905660377
M Pathirana,704,911,51,0.8626893939393939,0.7244318181818182
M Prasidh Krishna,1990,2885,122,0.966499162479062,0.6130653266331658
M Siddharth,297,416,15,0.9337822671156005,0.5050505050505051
M Theekshana,878,1173,36,0.8906605922551253,0.4100227790432802
M de Lange,110,157,6,0.9515151515151515,0.5454545454545454
MA Starc,1071,1446,78,0.900093370681606,0.7282913165266107
MA Wood,121,172,11,0.9476584022038567,0.9090909090909092
MC Henriques,951,1256,46,0.8804766912022433,0.48370136698212407
MF Maharoof,425,494,33,0.7749019607843137,0.7764705882352941
MG Bracewell,66,95,6,0.9595959595959597,0.9090909090909092
MG Johnson,1244,1633,66,0.87513397642015,0.5305466237942122
MJ Clarke,66,67,3,0.6767676767676768,0.4545454545454546
MJ Henry,282,565,9,1.3356973995271868,0.3191489361702127
MJ McClenaghan,1283,1726,75,0.8968563263185243,0.5845674201091192
MJ Santner,856,1079,40,0.8403426791277259,0.4672897196261682
MJ Suthar,102,143,6,0.9346405228758169,0.5882352941176471
MK Lomror,90,123,2,0.9111111111111111,0.22222222222222224
MM Ali,855,1014,46,0.7906432748538011,0.5380116959064327
MM Patel,1366,1670,82,0.8150317227916056,0.6002928257686677
MM Sharma,2413,3444,149,0.951512639867385,0.6174886033982594
MN Samuels,214,278,10,0.8660436137071651,0.4672897196261682
MP Stoinis,926,1484,46,1.068394528437725,0.4967602591792657
MP Yadav,194,342,10,1.175257731958763,0.5154639175257731
MR Marsh,563,762,37,0.9023090586145649,0.6571936056838367
MS Gony,893,1250,39,0.933184023889511,0.43673012318029114
MW Short,81,138,0,1.1358024691358024,0.0
Mayank Dagar,137,198,2,0.9635036496350365,0.145985401459854
Mohammad Asif,193,289,9,0.998272884283247,0.46632124352331605
Mohammad Hafeez,61,61,2,0.6666666666666666,0.3278688524590164
Mohammad Nabi,417,514,15,0.8217426059152678,0.3597122302158273
Mohammed Shami,3181,4317,171,0.9047469349261239,0.5375668028921723
Mohammed Siraj,2902,3959,142,0.9094877096255457,0.4893177119228118
Mohsin Khan,774,963,54,0.8294573643410853,0.6976744186046512
Mujeeb Ur Rahman,446,587,21,0.8774289985052316,0.4708520179372197
Mukesh Choudhary,424,650,26,1.022012578616352,0.6132075471698113
Mukesh Kumar,1095,1849,63,1.1257229832572297,0.5753424657534246
Mustafizur Rahman,1372,1790,74,0.86977648202138,0.5393586005830904
N Burger,636,969,34,1.0157232704402517,0.5345911949685535
N Rana,264,424,13,1.0707070707070707,0.49242424242424243
N Thushara,183,263,9,0.9581056466302368,0.4918032786885246
NLTC Perera,701,998,37,0.9491203043271517,0.5278174037089871
NM Coulter-Nile,866,1063,52,0.8183217859892226,0.6004618937644342
NT Ellis,381,533,20,0.9326334208223973,0.5249343832020997
Navdeep Saini,715,1019,26,0.95011655011655,0.36363636363636365
Naveen-ul-Haq,392,571,26,0.9710884353741497,0.663265306122449
Nithish Kumar Reddy,519,901,25,1.1573538856775851,0.4816955684007707
Noor Ahmad,1321,1758,68,0.8872066616199848,0.5147615442846329
O Thomas,62,76,5,0.8172043010752689,0.8064516129032258
OC McCoy,163,231,11,0.9447852760736196,0.6748466257668712
OF Smith,91,173,7,1.2673992673992673,0.7692307692307693
P Amarnath,132,236,7,1.1919191919191918,0.5303030303030303
P Awana,751,1000,43,0.887705281846427,0.5725699067909453
P Dubey,78,110,2,0.9401709401709403,0.2564102564102564
P Kumar,2525,3106,102,0.8200660066006601,0.403960396039604
P Negi,716,922,38,0.8584729981378025,0.5307262569832403
P Parameswaran,155,219,9,0.9419354838709677,0.5806451612903226
P Sahu,105,144,3,0.9142857142857143,0.2857142857142857
P Suyal,100,140,2,0.9333333333333332,0.2
PC Valthaty,151,199,7,0.8785871964679912,0.4635761589403974
PD Collingwood,89,100,5,0.7490636704119851,0.5617977528089888
PJ Cummins,1763,2483,85,0.9389298544148232,0.4821327283040272
PJ Sangwan,862,1182,44,0.91415313225058,0.5104408352668213
PP Chawla,3852,5027,198,0.870024229837314,0.514018691588785
PP Hinge,294,570,24,1.292517006802721,0.8163265306122448
PP Ojha,1901,2261,98,0.7929160091180081,0.5155181483429774
PV Tambe,660,834,27,0.8424242424242424,0.40909090909090906
PVD Chameera,423,656,15,1.0338849487785657,0.3546099290780142
PWH de Silva,798,1107,47,0.924812030075188,0.5889724310776943
Pankaj Singh,301,453,11,1.0033222591362125,0.36544850498338877
Parvez Rasool,198,268,4,0.9023569023569024,0.20202020202020204
Prince Yadav,680,920,53,0.9019607843137255,0.7794117647058824
R Ashwin,4714,5458,201,0.7718851647574599,0.4263894781501909
R Bhatia,1638,1986,82,0.8083028083028082,0.5006105006105006
R Dhawan,665,851,27,0.8531328320802004,0.406015037593985
R McLaren,357,520,14,0.9710550887021475,0.39215686274509803
R Parag,367,572,15,1.03905540417802,0.4087193460490463
R Rampaul,270,299,17,0.7382716049382716,0.6296296296296295
R Sai Kishore,441,639,32,0.9659863945578232,0.7256235827664399
R Sathish,139,227,6,1.0887290167865709,0.43165467625899284
R Sharma,928,1079,42,0.7751436781609194,0.4525862068965517
R Shepherd,501,986,27,1.3120425815036594,0.5389221556886228
R Shukla,123,198,7,1.0731707317073171,0.5691056910569106
R Tewatia,845,1088,35,0.8583826429980276,0.41420118343195267
R Vinay Kumar,2138,2925,127,0.912067352666043,0.5940130963517306
RA Jadeja,4405,5501,196,0.8325387816874764,0.4449489216799092
RD Chahar,1743,2246,76,0.8590552686938229,0.4360298336201951
RE van der Merwe,443,486,25,0.7313769751693003,0.5643340857787811
RG Sharma,339,438,16,0.8613569321533924,0.471976401179941
RJ Gleeson,69,105,2,1.0144927536231885,0.2898550724637681
RJ Harris,833,998,47,0.7987194877951181,0.5642256902761105
RJW Topley,120,217,5,1.2055555555555555,0.41666666666666663
RN ten Doeschate,78,88,3,0.7521367521367521,0.38461538461538464
RP Meredith,390,572,21,0.9777777777777777,0.5384615384615385
RP Singh,1788,2236,100,0.8337061894108874,0.5592841163310962
RR Powar,427,501,14,0.7822014051522248,0.3278688524590164
RR Raje,140,200,7,0.9523809523809524,0.5
RS Bopara,206,276,13,0.8932038834951457,0.6310679611650485
RV Gomez,96,128,6,0.8888888888888888,0.625
Ramandeep Singh,88,136,9,1.0303030303030303,1.0227272727272727
Rashid Khan,3796,4513,196,0.7925886898489639,0.5163329820864068
Rasikh Salam,521,794,31,1.0159948816378759,0.5950095969289827
Ravi Bishnoi,2073,2837,110,0.9123653320469529,0.5306319343945972
S Aravind,761,1007,48,0.8821725799386771,0.6307490144546648
S Badree,258,309,11,0.7984496124031008,0.4263565891472868
S Dube,178,311,9,1.1647940074906367,0.5056179775280899
S Gopal,992,1340,53,0.9005376344086021,0.5342741935483871
S Kaul,1215,1706,63,0.9360768175582991,0.5185185185185185
S Kaushik,205,291,6,0.9463414634146341,0.29268292682926833
S Ladda,139,221,5,1.0599520383693046,0.3597122302158273
S Lamichhane,210,291,14,0.9238095238095237,0.6666666666666666
S Nadeem,1419,1753,54,0.8235846840498003,0.38054968287526425
S Narwal,106,195,6,1.2264150943396226,0.5660377358490566
S Randiv,174,217,8,0.8314176245210728,0.45977011494252873
S Sandeep Warrier,170,245,8,0.9607843137254902,0.47058823529411764
S Sreesanth,903,1112,43,0.8209671465485419,0.47619047619047616
S Tyagi,212,284,6,0.8930817610062892,0.2830188679245283
SB Bangar,150,212,6,0.9422222222222222,0.4
SB Jakati,1087,1422,49,0.8721251149954002,0.45078196872125115
SB Styris,216,270,9,0.8333333333333334,0.41666666666666663
SB Wagh,102,131,5,0.8562091503267975,0.49019607843137253
SC Ganguly,277,359,12,0.8640192539109507,0.4332129963898917
SE Bond,186,218,9,0.7813620071684588,0.4838709677419355
SH Johnson,164,276,5,1.121951219512195,0.3048780487804878
SJ Srivastava,283,409,15,0.9634864546525325,0.5300353356890459
SK Raina,908,1096,30,0.8046989720998532,0.3303964757709251
SK Trivedi,1515,1840,73,0.8096809680968097,0.48184818481848185
SK Warne,1194,1408,59,0.7861529871580123,0.49413735343383586
SL Malinga,2845,3194,186,0.7484475688342122,0.6537785588752197
SM Curran,1260,1978,63,1.0465608465608465,0.5
SM Harwood,60,61,3,0.6777777777777777,0.5
SM Pollock,276,297,13,0.717391304347826,0.47101449275362317
SMSM Senanayake,192,206,9,0.7152777777777778,0.46875
SN Thakur,2333,3628,133,1.036719531361623,0.5700814402057437
SP Narine,4852,5381,239,0.7393514701841165,0.4925803792250618
SR Watson,2042,2571,107,0.8393731635651323,0.5239960822722821
SS Cottrell,120,161,6,0.8944444444444444,0.5
ST Jayasuriya,294,375,16,0.8503401360544217,0.5442176870748299
STR Binny,595,741,28,0.8302521008403362,0.47058823529411764
SW Tait,482,557,26,0.7704011065006915,0.5394190871369295
Sakib Hussain,342,513,24,1.0,0.7017543859649122
Sandeep Sharma,3358,4475,180,0.8884256501886044,0.5360333531864205
Shahbaz Ahmed,608,970,22,1.0635964912280702,0.3618421052631579
Shahid Afridi,181,220,9,0.8103130755064457,0.49723756906077343
Shakib Al Hasan,1484,1802,71,0.8095238095238094,0.4784366576819407
Shashank Singh,120,165,10,0.9166666666666666,0.8333333333333333
Shivam Mavi,655,903,33,0.9190839694656489,0.5038167938931297
Shivam Sharma,114,165,4,0.9649122807017544,0.3508771929824561
Shivang Kumar,396,624,21,1.0505050505050504,0.5303030303030303
Shoaib Ahmed,102,151,5,0.9869281045751634,0.49019607843137253
Sikandar Raza,85,133,3,1.0431372549019609,0.3529411764705882
Simarjeet Singh,242,380,12,1.0468319559228652,0.49586776859504134
Sohail Tanvir,248,246,24,0.6612903225806451,0.967741935483871
Suyash Sharma,1096,1525,41,0.9276155717761557,0.3740875912408759
Swapnil Singh,163,238,7,0.9734151329243353,0.4294478527607362
T Natarajan,1819,2709,92,0.9928532160527763,0.5057724024189115
T Shamsi,120,181,3,1.0055555555555555,0.25
T Thushara,137,152,10,0.7396593673965937,0.7299270072992701
TA Boult,2923,4068,157,0.9278138898392063,0.5371193978788915
