batter,bowling_style,balls_faced,total_runs,wickets,strike_rate,out_rate
A Ashish Reddy,Other Pace/Spin,188,266,15,141.48936170212767,7.9787234042553195
A Badoni,Leg-break,55,54,3,98.18181818181819,5.454545454545454
A Badoni,Other Pace/Spin,912,1300,49,142.54385964912282,5.37280701754386
A Badoni,Right-arm Off-break,94,77,3,81.91489361702128,3.1914893617021276
A Chopra,Other Pace/Spin,75,53,5,70.66666666666667,6.666666666666667
A Flintoff,Other Pace/Spin,57,62,2,108.77192982456141,3.508771929824561
A Kamboj,Other Pace/Spin,110,133,1,120.9090909090909,0.9090909090909091
A Kumble,Other Pace/Spin,46,33,2,71.73913043478261,4.3478260869565215
A Manohar,Other Pace/Spin,178,207,16,116.29213483146069,8.98876404494382
A Mhatre,Other Pace/Spin,435,767,22,176.32183908045977,5.057471264367816
A Mishra,Other Pace/Spin,421,373,29,88.59857482185272,6.88836104513064
A Nehra,Other Pace/Spin,62,41,7,66.12903225806451,11.29032258064516
A Nortje,Other Pace/Spin,47,43,8,91.48936170212765,17.02127659574468
A Raghuvanshi,Left-arm Fast,33,59,0,178.78787878787878,0.0
A Raghuvanshi,Other Pace/Spin,670,949,32,141.6417910447761,4.776119402985075
A Raghuvanshi,Right-arm Fast,50,52,0,104.0,0.0
A Symonds,Other Pace/Spin,756,946,24,125.13227513227514,3.1746031746031744
AA Bilakhia,Other Pace/Spin,88,69,5,78.4090909090909,5.681818181818182
AA Jhunjhunwala,Other Pace/Spin,218,217,14,99.54128440366972,6.422018348623854
AB Agarkar,Other Pace/Spin,150,175,7,116.66666666666667,4.666666666666667
AB Barath,Other Pace/Spin,43,42,2,97.67441860465115,4.651162790697675
AB Dinda,Other Pace/Spin,50,26,9,52.0,18.0
AB McDonald,Other Pace/Spin,103,123,5,119.41747572815532,4.854368932038835
AB de Villiers,Left-arm Orthodox,93,111,2,119.35483870967742,2.1505376344086025
AB de Villiers,Leg-break,43,45,3,104.65116279069768,6.976744186046512
AB de Villiers,Other Pace/Spin,3097,4636,109,149.69325153374234,3.519535033903778
AB de Villiers,Right-arm Fast,120,190,4,158.33333333333331,3.3333333333333335
AB de Villiers,Right-arm Off-break,101,122,6,120.79207920792079,5.9405940594059405
AC Blizzard,Other Pace/Spin,91,120,7,131.86813186813185,7.6923076923076925
AC Gilchrist,Other Pace/Spin,1494,2005,72,134.20348058902277,4.819277108433735
AC Gilchrist,Right-arm Off-break,58,62,3,106.89655172413792,5.172413793103448
AC Voges,Other Pace/Spin,143,181,6,126.57342657342659,4.195804195804196
AD Hales,Other Pace/Spin,101,132,6,130.6930693069307,5.9405940594059405
AD Mascarenhas,Other Pace/Spin,79,79,10,100.0,12.658227848101266
AD Mathews,Other Pace/Spin,554,672,29,121.29963898916967,5.234657039711191
AD Mathews,Right-arm Off-break,34,40,2,117.64705882352942,5.88235294117647
AD Nath,Other Pace/Spin,77,69,8,89.6103896103896,10.38961038961039
AD Russell,Left-arm Orthodox,35,47,0,134.28571428571428,0.0
AD Russell,Leg-break,82,127,5,154.8780487804878,6.097560975609756
AD Russell,Other Pace/Spin,1384,2293,75,165.67919075144508,5.41907514450867
AD Russell,Right-arm Fast,87,156,6,179.31034482758622,6.896551724137931
AF Milne,Other Pace/Spin,31,23,5,74.19354838709677,16.129032258064516
AG Paunikar,Other Pace/Spin,61,49,5,80.32786885245902,8.19672131147541
AJ Finch,Leg-break,62,82,2,132.25806451612902,3.225806451612903
AJ Finch,Other Pace/Spin,1454,1802,76,123.93397524071528,5.226960110041266
AJ Finch,Right-arm Fast,68,58,2,85.29411764705883,2.941176470588235
AJ Finch,Right-arm Off-break,51,64,0,125.49019607843137,0.0
AJ Tye,Other Pace/Spin,66,76,7,115.15151515151516,10.606060606060606
AK Markram,Leg-break,51,58,1,113.72549019607843,1.9607843137254901
AK Markram,Other Pace/Spin,1284,1782,63,138.78504672897196,4.906542056074766
AK Markram,Right-arm Off-break,86,70,4,81.3953488372093,4.651162790697675
AL Menaria,Other Pace/Spin,329,367,20,111.5501519756839,6.079027355623101
AM Nayar,Other Pace/Spin,578,661,38,114.3598615916955,6.5743944636678195
AM Rahane,Left-arm Fast,80,81,3,101.25,3.75
AM Rahane,Left-arm Orthodox,36,39,3,108.33333333333333,8.333333333333332
AM Rahane,Leg-break,94,107,5,113.82978723404256,5.319148936170213
AM Rahane,Other Pace/Spin,3994,4930,165,123.43515272909364,4.131196795192789
AM Rahane,Right-arm Fast,159,212,0,133.33333333333331,0.0
AM Rahane,Right-arm Off-break,121,130,10,107.43801652892562,8.264462809917356
AP Majumdar,Other Pace/Spin,73,86,4,117.8082191780822,5.47945205479452
AP Tare,Other Pace/Spin,268,319,24,119.02985074626866,8.955223880597014
AR Patel,Left-arm Orthodox,40,74,0,185.0,0.0
AR Patel,Leg-break,111,139,8,125.22522522522523,7.207207207207207
AR Patel,Other Pace/Spin,1267,1625,80,128.2557221783741,6.3141278610891876
AR Patel,Right-arm Fast,79,82,7,103.79746835443038,8.860759493670885
AR Patel,Right-arm Off-break,71,65,8,91.54929577464789,11.267605633802818
AS Raut,Other Pace/Spin,170,191,10,112.3529411764706,5.88235294117647
AS Roy,Other Pace/Spin,95,124,12,130.5263157894737,12.631578947368421
AS Yadav,Other Pace/Spin,40,49,7,122.50000000000001,17.5
AT Rayudu,Left-arm Fast,30,43,0,143.33333333333334,0.0
AT Rayudu,Left-arm Orthodox,40,50,1,125.0,2.5
AT Rayudu,Leg-break,159,156,5,98.11320754716981,3.1446540880503147
AT Rayudu,Other Pace/Spin,3013,3835,131,127.28177895784931,4.3478260869565215
AT Rayudu,Right-arm Fast,68,94,4,138.23529411764704,5.88235294117647
AT Rayudu,Right-arm Off-break,152,143,9,94.07894736842105,5.921052631578947
