batter,phase,balls_faced,p_dot,p_1,p_2,p_3,p_4,p_6,p_wicket
A Ashish Reddy,Death,146,0.2602739726027397,0.4726027397260274,0.10273972602739725,0.00684931506849315,0.08904109589041095,0.0684931506849315,0.0958904109589041
A Ashish Reddy,Middle,41,0.3902439024390244,0.3170731707317073,0.12195121951219512,0.0,0.04878048780487805,0.12195121951219512,0.0
A Badoni,Death,679,0.30633284241531666,0.39764359351988215,0.08836524300441827,0.008836524300441826,0.13843888070692195,0.060382916053019146,0.0662739322533137
A Badoni,Middle,335,0.3164179104477612,0.46865671641791046,0.07761194029850746,0.0029850746268656717,0.09253731343283582,0.041791044776119404,0.03582089552238806
A Badoni,Powerplay,47,0.6595744680851063,0.23404255319148937,0.0425531914893617,0.0,0.0425531914893617,0.02127659574468085,0.06382978723404255
A Chopra,Middle,30,0.5333333333333333,0.3,0.06666666666666667,0.0,0.1,0.0,0.06666666666666667
A Chopra,Powerplay,39,0.6153846153846154,0.28205128205128205,0.0,0.0,0.10256410256410256,0.0,0.05128205128205128
A Choudhary,Death,20,0.2,0.65,0.05,0.0,0.05,0.05,0.1
A Flintoff,Middle,23,0.30434782608695654,0.5652173913043478,0.043478260869565216,0.0,0.08695652173913043,0.0,0.043478260869565216
A Kamboj,Death,104,0.28846153846153844,0.5288461538461539,0.04807692307692308,0.0,0.07692307692307693,0.057692307692307696,0.019230769230769232
A Kumble,Death,42,0.42857142857142855,0.47619047619047616,0.023809523809523808,0.0,0.07142857142857142,0.0,0.047619047619047616
A Manohar,Death,94,0.30851063829787234,0.425531914893617,0.06382978723404255,0.0,0.09574468085106383,0.10638297872340426,0.1276595744680851
A Manohar,Middle,123,0.4065040650406504,0.43902439024390244,0.024390243902439025,0.0,0.0975609756097561,0.032520325203252036,0.04878048780487805
A Mhatre,Death,342,0.3362573099415205,0.3362573099415205,0.038011695906432746,0.008771929824561403,0.17543859649122806,0.10526315789473684,0.04678362573099415
A Mhatre,Middle,32,0.21875,0.4375,0.09375,0.0,0.125,0.125,0.03125
A Mhatre,Powerplay,92,0.358695652173913,0.25,0.021739130434782608,0.0,0.29347826086956524,0.07608695652173914,0.05434782608695652
A Mishra,Death,250,0.4,0.424,0.064,0.0,0.092,0.02,0.096
A Mishra,Middle,164,0.45121951219512196,0.4634146341463415,0.036585365853658534,0.0,0.04878048780487805,0.0,0.036585365853658534
A Nehra,Death,62,0.5806451612903226,0.3387096774193548,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.12903225806451613
A Nortje,Death,52,0.5,0.3269230769230769,0.019230769230769232,0.038461538461538464,0.11538461538461539,0.0,0.15384615384615385
A Raghuvanshi,Death,488,0.3831967213114754,0.35860655737704916,0.040983606557377046,0.006147540983606557,0.15778688524590165,0.0471311475409836,0.05122950819672131
A Raghuvanshi,Middle,184,0.2391304347826087,0.5543478260869565,0.043478260869565216,0.005434782608695652,0.11956521739130435,0.03804347826086957,0.04891304347826087
A Raghuvanshi,Powerplay,92,0.391304347826087,0.2717391304347826,0.043478260869565216,0.010869565217391304,0.20652173913043478,0.07608695652173914,0.03260869565217391
A Symonds,Death,184,0.2608695652173913,0.44021739130434784,0.11413043478260869,0.0,0.09239130434782608,0.09239130434782608,0.06521739130434782
A Symonds,Middle,484,0.3677685950413223,0.39669421487603307,0.08677685950413223,0.006198347107438017,0.09297520661157024,0.049586776859504134,0.026859504132231406
A Symonds,Powerplay,82,0.6219512195121951,0.18292682926829268,0.036585365853658534,0.012195121951219513,0.14634146341463414,0.0,0.012195121951219513
AA Bilakhia,Death,33,0.30303030303030304,0.48484848484848486,0.12121212121212122,0.0,0.09090909090909091,0.0,0.06060606060606061
AA Bilakhia,Middle,20,0.55,0.4,0.05,0.0,0.0,0.0,0.1
AA Bilakhia,Powerplay,32,0.59375,0.21875,0.125,0.0,0.0625,0.0,0.03125
AA Jhunjhunwala,Death,51,0.35294117647058826,0.4117647058823529,0.0392156862745098,0.0,0.1568627450980392,0.0392156862745098,0.1568627450980392
AA Jhunjhunwala,Middle,125,0.408,0.408,0.088,0.008,0.072,0.016,0.048
AA Jhunjhunwala,Powerplay,34,0.6176470588235294,0.29411764705882354,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0
AB Agarkar,Death,94,0.23404255319148937,0.5212765957446809,0.11702127659574468,0.0,0.09574468085106383,0.031914893617021274,0.05319148936170213
AB Agarkar,Middle,47,0.5319148936170213,0.3404255319148936,0.06382978723404255,0.0,0.06382978723404255,0.0,0.0425531914893617
AB Barath,Middle,23,0.4782608695652174,0.34782608695652173,0.043478260869565216,0.0,0.13043478260869565,0.0,0.08695652173913043
AB Dinda,Death,40,0.6,0.35,0.025,0.0,0.025,0.0,0.2
AB McDonald,Death,65,0.3076923076923077,0.4461538461538462,0.12307692307692308,0.015384615384615385,0.07692307692307693,0.03076923076923077,0.046153846153846156
AB de Villiers,Death,838,0.20883054892601433,0.34844868735083534,0.10978520286396182,0.00477326968973747,0.1610978520286396,0.16706443914081145,0.0477326968973747
AB de Villiers,Middle,1959,0.28637059724349156,0.4920877998979071,0.07759060745278203,0.005104645227156712,0.09137314956610515,0.04747320061255743,0.03215926493108729
AB de Villiers,Powerplay,614,0.49348534201954397,0.2671009771986971,0.03908794788273615,0.004885993485342019,0.16286644951140064,0.03257328990228013,0.035830618892508145
AC Blizzard,Powerplay,76,0.5263157894736842,0.18421052631578946,0.013157894736842105,0.013157894736842105,0.2631578947368421,0.0,0.06578947368421052
AC Gilchrist,Death,32,0.28125,0.40625,0.0,0.0,0.15625,0.15625,0.03125
AC Gilchrist,Middle,430,0.3697674418604651,0.37209302325581395,0.06744186046511629,0.002325581395348837,0.1,0.08837209302325581,0.06279069767441861
AC Gilchrist,Powerplay,1033,0.4927395934172314,0.2362052274927396,0.03581800580832527,0.002904162633107454,0.18489835430784124,0.04743465634075508,0.046466602129719266
