Team,Player
Chennai Super Kings,A Kamboj
Chennai Super Kings,A Mhatre
Chennai Super Kings,AJ Hosein
Chennai Super Kings,D Brevis
Chennai Super Kings,Gurjapneet Singh
Chennai Super Kings,J Overton
Chennai Super Kings,KK Ahmed
Chennai Super Kings,Kartik Sharma
Chennai Super Kings,MJ Henry
Chennai Super Kings,MW Short
Chennai Super Kings,Mukesh Choudhary
Chennai Super Kings,Noor Ahmad
Chennai Super Kings,PR Veer
Chennai Super Kings,RD Chahar
Chennai Super Kings,RD Gaikwad
Chennai Super Kings,S Dube
Chennai Super Kings,SN Khan
Chennai Super Kings,SV Samson
Chennai Super Kings,Urvil Patel
Delhi Capitals,AR Patel
Delhi Capitals,Abishek Porel
Delhi Capitals,Ashutosh Sharma
Delhi Capitals,Auqib Nabi
Delhi Capitals,DA Miller
Delhi Capitals,KA Jamieson
Delhi Capitals,KK Nair
Delhi Capitals,KL Rahul
Delhi Capitals,Kuldeep Yadav
Delhi Capitals,L Ngidi
Delhi Capitals,Mukesh Kumar
Delhi Capitals,N Rana
Delhi Capitals,P Nissanka
Delhi Capitals,PVD Chameera
Delhi Capitals,SU Parakh
Delhi Capitals,Sameer Rizvi
Delhi Capitals,T Natarajan
Delhi Capitals,T Stubbs
Delhi Capitals,V Nigam
Gujarat Titans,Arshad Khan
Gujarat Titans,Ashok Sharma
Gujarat Titans,B Sai Sudharsan
Gujarat Titans,GD Phillips
Gujarat Titans,JC Buttler
Gujarat Titans,JO Holder
Gujarat Titans,K Rabada
Gujarat Titans,Kumar Kushagra
Gujarat Titans,M Prasidh Krishna
Gujarat Titans,M Shahrukh Khan
Gujarat Titans,MJ Suthar
Gujarat Titans,Mohammed Siraj
Gujarat Titans,R Tewatia
Gujarat Titans,Rashid Khan
Gujarat Titans,Shubman Gill
Gujarat Titans,Washington Sundar
Kolkata Knight Riders,A Raghuvanshi
Kolkata Knight Riders,AM Rahane
Kolkata Knight Riders,AS Roy
Kolkata Knight Riders,B Muzarabani
Kolkata Knight Riders,C Green
Kolkata Knight Riders,CV Varun
Kolkata Knight Riders,FH Allen
Kolkata Knight Riders,Kartik Tyagi
Kolkata Knight Riders,Navdeep Saini
Kolkata Knight Riders,R Powell
Kolkata Knight Riders,RK Singh
Kolkata Knight Riders,Ramandeep Singh
Kolkata Knight Riders,SP Narine
Kolkata Knight Riders,TL Seifert
Kolkata Knight Riders,VG Arora
Lucknow Super Giants,A Badoni
Lucknow Super Giants,A Nortje
Lucknow Super Giants,AK Markram
Lucknow Super Giants,Abdul Samad
Lucknow Super Giants,Avesh Khan
Lucknow Super Giants,DS Rathi
Lucknow Super Giants,GF Linde
Lucknow Super Giants,Himmat Singh
Lucknow Super Giants,M Siddharth
Lucknow Super Giants,MD Choudhary
Lucknow Super Giants,MP Yadav
Lucknow Super Giants,MR Marsh
Lucknow Super Giants,Mohammed Shami
Lucknow Super Giants,Mohsin Khan
Lucknow Super Giants,N Pooran
Lucknow Super Giants,Prince Yadav
Lucknow Super Giants,RR Pant
Lucknow Super Giants,Shahbaz Ahmed
Mumbai Indians,AM Ghazanfar
Mumbai Indians,Ashwani Kumar
Mumbai Indians,C Bosch
Mumbai Indians,DL Chahar
Mumbai Indians,DV Malewar
Mumbai Indians,HH Pandya
Mumbai Indians,JJ Bumrah
Mumbai Indians,Krish Bhagat
Mumbai Indians,M Markande
Mumbai Indians,MJ Santner
Mumbai Indians,Naman Dhir
Mumbai Indians,Q de Kock
Mumbai Indians,R Minz
Mumbai Indians,RD Rickelton
Mumbai Indians,RG Sharma
Mumbai Indians,SA Yadav
Mumbai Indians,SE Rutherford
Mumbai Indians,SN Thakur
Mumbai Indians,TA Boult
Mumbai Indians,Tilak Varma
Mumbai Indians,WG Jacks
Punjab Kings,Arshdeep Singh
Punjab Kings,C Connolly
Punjab Kings,Harpreet Brar
Punjab Kings,LH Ferguson
Punjab Kings,M Jansen
Punjab Kings,MP Stoinis
Punjab Kings,N Wadhera
Punjab Kings,P Simran Singh
Punjab Kings,Priyansh Arya
Punjab Kings,SS Iyer
Punjab Kings,Shashank Singh
Punjab Kings,Suryansh Shedge
Punjab Kings,Vijaykumar Vyshak
Punjab Kings,XC Bartlett
Punjab Kings,YS Chahal
Rajasthan Royals,Brijesh Sharma
Rajasthan Royals,D Ferreira
Rajasthan Royals,Dhruv Jurel
Rajasthan Royals,JC Archer
Rajasthan Royals,LG Pretorius
Rajasthan Royals,N Burger
Rajasthan Royals,R Parag
Rajasthan Royals,RA Jadeja
Rajasthan Royals,Ravi Bishnoi
Rajasthan Royals,SB Dubey
Rajasthan Royals,SO Hetmyer
Rajasthan Royals,Sandeep Sharma
Rajasthan Royals,TU Deshpande
Rajasthan Royals,V Suryavanshi
Rajasthan Royals,YBK Jaiswal
Rajasthan Royals,Yash Raj Punja
Royal Challengers Bengaluru,Abhinandan Singh
Royal Challengers Bengaluru,B Kumar
Royal Challengers Bengaluru,D Padikkal
Royal Challengers Bengaluru,JA Duffy
Royal Challengers Bengaluru,JG Bethell
Royal Challengers Bengaluru,JM Sharma
Royal Challengers Bengaluru,JR Hazlewood
Royal Challengers Bengaluru,KH Pandya
Royal Challengers Bengaluru,PD Salt
Royal Challengers Bengaluru,R Shepherd
Royal Challengers Bengaluru,RM Patidar
Royal Challengers Bengaluru,Rasikh Salam
Royal Challengers Bengaluru,Suyash Sharma
Royal Challengers Bengaluru,TH David
Royal Challengers Bengaluru,V Kohli
Royal Challengers Bengaluru,VR Iyer
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,Aniket Verma
Sunrisers Hyderabad,D Madushanka
Sunrisers Hyderabad,DA Payne
Sunrisers Hyderabad,E Malinga
Sunrisers Hyderabad,H Klaasen
